Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Brooklyn,WINTHROP STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,2,9
Brooklyn,WYCKOFF AVENUE,M,M,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,YORK STREET,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Manhattan,1 AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,1,1,12,16
Manhattan,103 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,103 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,2,12,11,0,3,28
Manhattan,103 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Manhattan,110 ST.-CATHEDRAL PKWY.,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,1,2,1,0,3,7
Manhattan,110 ST.-CATHEDRAL PKWY.,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,2,5,2,0,1,10
Manhattan,110 ST.-CENTRAL PARK NORTH,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,1,2,2,0,1,6
Manhattan,110 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,1,15,18,2,4,40
Manhattan,116 ST.-COLUMBIA UNIVERSITY,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,1,1,1,0,1,4
Manhattan,116 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,116 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,4,39,39,1,6,89
Manhattan,116 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,6,1,0,2,9
Manhattan,125 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,1,0,1,9
Manhattan,125 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,8,2,1,1,12
Manhattan,125 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,3,61,32,5,18,119
Manhattan,125 STREET,"A,B,C,D",A,B,C,D,NA,NA,NA,2018,1,0,2,63,37,1,20,123
Manhattan,135 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,22,6,0,2,30
Manhattan,135 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,2,1,0,1,4
Manhattan,137 ST.-CITY COLLEGE,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,5,0,0,8
Manhattan,14 ST.-UNION SQUARE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,4,13,5,3,12,37
Manhattan,14 STREET,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,0,0,12,11,3,6,32
Manhattan,14 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,4,19,59,34,8,86,210
Manhattan,14 STREET,"A,C,E",A,C,E,NA,NA,NA,NA,2018,1,0,5,12,18,7,29,71
Manhattan,14 STREET,"F,M",F,M,NA,NA,NA,NA,NA,2018,1,0,1,6,1,0,1,9
Manhattan,145 STREET,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,0,0,0,7
Manhattan,145 STREET,"A,B,C,D",A,B,C,D,NA,NA,NA,2018,1,0,4,12,20,3,6,45
Manhattan,155 STREET,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,157 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,1,3,11,1,4,20
